,年度,年月日,カテゴリ,節,H_team,A_team,スコア,スタジアム,K/O時刻,入場者数,インターネット中継・TV放送
82,2012,20120325,J2,５,京都サンガF.C.,ＦＣ町田ゼルビア,2-1,西京極,13:04,4795.0,スカパー／ｅ２／スカパー光／ＫＢＳ京都（録）
83,2012,20120325,J2,５,横浜ＦＣ,ヴァンフォーレ甲府,0-2,ニッパ球,14:03,6071.0,スカパー／ｅ２（スカイ・Ａ　ｓｐｏｒｔｓ＋）／スカパー光
84,2012,20120325,J2,５,愛媛ＦＣ,栃木ＳＣ,1-1,ニンスタ,14:04,2838.0,スカパー／ｅ２／スカパー光
85,2012,20120325,J2,５,ジェフユナイテッド千葉,徳島ヴォルティス,3-0,フクアリ,16:03,8337.0,スカパー／ｅ２／スカパー光
86,2012,20120325,J2,５,東京ヴェルディ,ザスパクサツ群馬,2-0,味スタ,16:03,3008.0,スカパー／ｅ２／スカパー光
87,2012,20120325,J2,５,ロアッソ熊本,湘南ベルマーレ,3-3,熊本,16:04,4687.0,スカパー／ｅ２／スカパー光
88,2012,20120325,J2,５,ＦＣ岐阜,大分トリニータ,0-2,長良川,18:04,2539.0,スカパー／ｅ２／スカパー光
89,2012,20120331,J1,４,大宮アルディージャ,名古屋グランパス,1-1,ＮＡＣＫ,13:03,7936.0,スカパー／ｅ２／スカパー光
90,2012,20120331,J1,４,ＦＣ東京,サンフレッチェ広島,0-1,味スタ,14:04,16229.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＴＯＫＹＯ　ＭＸ（録）
91,2012,20120331,J1,４,浦和レッズ,川崎フロンターレ,1-1,埼玉,15:03,25743.0,スカパー／ｅ２／スカパー光／テレ玉
92,2012,20120331,J1,４,ジュビロ磐田,柏レイソル,1-0,ヤマハ,15:04,9042.0,スカパー／ｅ２／スカパー光／静岡放送
93,2012,20120331,J1,４,セレッソ大阪,ベガルタ仙台,1-2,金鳥スタ,15:04,9598.0,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
94,2012,20120331,J1,４,アルビレックス新潟,ガンバ大阪,1-1,東北電ス,16:03,16836.0,スカパー／ｅ２／スカパー光
95,2012,20120331,J1,４,清水エスパルス,北海道コンサドーレ札幌,1-0,アウスタ,18:34,14216.0,スカパー／ｅ２／スカパー光
