,第n回,種別,No,開催日,試合結果,くじ結果,当選金_1,当選金_2,当選金_3,次回への繰越金_1,次回への繰越金_2,次回への繰越金_3,当せん口数_1,当せん口数_2,当せん口数_3,販売開始日,販売終了日,結果発表日,払戻開始日,払戻期限,ホーム,アウェイ
93,554,mini toto-A組,2,20120324,2-0,1,7371,0,0,0,0,0,1291,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月24日(土),2012年03月27日(火),2013年03月26日(火),サンフレッチェ広島,鹿島アントラーズ
94,554,mini toto-A組,3,20120324,0-1,2,7371,0,0,0,0,0,1291,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月24日(土),2012年03月27日(火),2013年03月26日(火),川崎フロンターレ,セレッソ大阪
95,554,mini toto-A組,4,20120324,0-2,2,7371,0,0,0,0,0,1291,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月24日(土),2012年03月27日(火),2013年03月26日(火),ヴィッセル神戸,ＦＣ東京
96,554,mini toto-A組,5,20120324,1-0,1,7371,0,0,0,0,0,1291,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月24日(土),2012年03月27日(火),2013年03月26日(火),サガン鳥栖,横浜Ｆ・マリノス
97,554,mini toto-B組,1,20120324,1-2,2,1052,0,0,0,0,0,8545,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),北海道コンサドーレ札幌,浦和レッズ
98,554,mini toto-B組,2,20120324,2-1,1,1052,0,0,0,0,0,8545,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),柏レイソル,清水エスパルス
99,554,mini toto-B組,3,20120325,2-1,1,1052,0,0,0,0,0,8545,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),名古屋グランパス,アルビレックス新潟
100,554,mini toto-B組,4,20120325,1-2,2,1052,0,0,0,0,0,8545,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ガンバ大阪,ジュビロ磐田
101,554,mini toto-B組,5,20120325,0-2,2,1052,0,0,0,0,0,8545,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ＦＣ岐阜,大分トリニータ
102,555,toto,1,20120331,1-1,0,0,1835051,240660,68508300,0,0,0,8,61,2012年03月24日(土),2012年03月31日(土),2012年04月01日(日),2012年04月03日(火),2013年04月02日(火),大宮アルディージャ,名古屋グランパス
